sample_id,acc_x_mps2,acc_y_mps2,acc_z_mps2,voltage_v
194,-2.440386,-1.866617,9.776117,-0.01824
195,-2.69215,-1.945853,9.830991,-0.023671
196,-2.818985,-1.632357,9.953162,-0.024971
197,-2.887431,-1.817198,10.027913,-0.023143
198,-2.557106,-1.880357,9.977521,-0.011661
199,-2.894741,-1.573452,9.915836,-0.027974
200,-2.566415,-1.55308,9.880421,-0.027698
201,-2.478242,-1.570587,10.134813,-0.016026
202,-2.394358,-1.550403,10.215491,-0.011862
203,-2.006188,-1.301901,10.309808,-0.007684
204,-1.882104,-1.410175,10.437895,-0.004227
205,-1.649008,-1.409848,10.444295,4e-05
206,-1.359994,-1.273667,10.689041,0.013371
207,-1.515079,-1.314223,10.729747,0.009448
208,-1.263808,-1.176174,10.721195,0.011235
209,-1.009866,-1.165573,10.587103,0.016493
210,-0.924949,-0.954624,10.752587,0.013504
211,-0.563572,-1.219288,10.834152,0.03095
212,-0.647174,-1.210685,10.929711,0.029448
213,-0.378266,-0.979284,11.175577,0.032829
214,-0.481766,-1.146245,11.0311,0.036294
215,-0.355425,-1.126683,10.872851,0.027684
216,-0.224171,-1.014719,10.893156,0.036334
217,-0.335132,-0.990894,10.753879,0.026821
218,-0.40545,-1.080918,10.918878,0.029708
219,-0.41979,-0.927827,10.845871,0.030399
220,-0.44058,-1.105929,10.873838,0.031224
221,-0.286352,-1.305423,10.707812,0.035134
222,-0.505147,-1.142595,10.53121,0.020757
223,-0.379032,-1.091351,10.529699,0.026629
224,-0.409372,-1.304959,10.327333,0.020854
225,-0.139996,-1.339142,10.452467,0.029856
226,-0.157272,-1.223166,10.199436,0.019062
227,0.155171,-1.316509,9.994694,0.025399
228,0.107965,-1.180877,10.029249,0.021847
229,0.227304,-1.447498,9.955559,0.023969
230,0.412414,-1.47795,9.821325,0.024465
231,0.68844,-1.348725,9.778864,0.031785
232,0.970174,-1.274125,9.782751,0.038684
233,1.234148,-1.121366,9.563278,0.030852
234,1.172706,-1.137063,9.757852,0.034195
235,1.715609,-1.110233,9.739282,0.040984
236,1.828447,-0.868135,9.708349,0.042511
237,2.279871,-0.843263,9.608068,0.041502
238,2.422536,-0.721096,9.534337,0.050939
239,2.493583,-0.547729,9.502503,0.046835
240,2.374757,-0.543483,9.693122,0.042452
241,2.588542,-0.24342,9.76834,0.049898
242,2.31124,-0.232753,9.605011,0.04124
243,2.681044,-0.203523,9.568705,0.048224
244,2.722975,0.319679,9.557586,0.041729
245,2.689769,0.392251,9.637674,0.041203
246,2.312588,0.262562,9.645618,0.033467
247,2.308179,0.478557,9.518126,0.029008
248,2.079674,0.665172,9.546488,0.022131
249,1.996071,0.850233,9.648076,0.018961
250,2.114485,0.963893,9.251464,0.010375
251,1.77468,1.045687,9.43829,0.010313
252,1.820652,0.958542,9.317292,0.005455
253,1.630275,1.105305,9.339373,0.001699
254,1.682503,1.265301,9.393691,0.00519
255,1.538066,1.284792,9.259668,-0.004039
256,1.632996,1.421197,9.307772,-0.001464
257,1.500126,1.311113,9.087288,-0.005705
258,1.44898,1.259301,9.166692,-0.00529
259,1.490966,1.366109,8.978616,-0.00985
260,1.508484,1.146264,8.908422,-0.011572
261,1.5841,1.133045,8.93378,-0.004753
262,1.64,1.217989,8.849999,-0.013564
263,1.521554,1.18542,8.808639,-0.011436
264,1.573256,1.183013,8.718328,-0.014932
265,1.762317,1.116764,8.834253,-0.003716
266,1.823074,1.138358,8.665931,-0.01063
267,1.549088,1.364424,8.65385,-0.017178
268,1.64787,1.022123,8.712072,-0.013473
269,1.508772,0.889605,8.779178,-0.009685
270,1.453777,1.034625,8.784878,-0.008539
271,1.367329,1.026853,8.778759,-0.010809
272,1.212983,1.044251,8.974754,-0.011595
273,1.108118,0.972194,9.128847,-0.006314
274,0.935971,0.9087,9.013988,-0.015046
275,0.624511,1.096229,9.117512,-0.016398
276,0.415,0.883413,9.243464,-0.023825
277,0.075502,1.071172,9.328193,-0.02505
278,-0.133887,1.11557,9.59433,-0.019735
279,-0.473151,1.35577,9.441379,-0.037644
280,-0.393782,1.067343,9.712221,-0.027316
281,-0.820192,1.3384,9.893786,-0.033684
282,-1.017646,1.48702,9.824831,-0.040865
283,-1.199023,1.502789,9.996597,-0.040874
284,-1.401242,1.594439,9.986288,-0.044129
285,-1.475607,1.55917,10.001554,-0.043073
286,-1.701134,1.808109,10.1403,-0.051859
287,-1.602243,1.765658,10.2325,-0.041367
288,-1.718597,1.728457,10.162858,-0.049823
289,-1.777293,1.869438,10.243799,-0.049848
290,-1.767803,1.907625,10.225607,-0.051984
291,-1.671833,1.867145,10.195912,-0.045675
292,-1.514578,1.906362,10.301314,-0.041824
293,-1.575782,1.987236,10.427234,-0.042405
294,-1.474259,1.967912,10.26744,-0.046845
295,-1.377791,1.692503,10.434413,-0.032582
296,-1.432735,1.809639,10.426649,-0.039923
297,-1.576806,1.686448,10.260559,-0.044597
298,-1.418401,1.688676,10.212346,-0.036313
299,-1.622498,1.464065,10.305648,-0.039316
300,-1.444406,1.435316,10.194175,-0.039256
301,-1.636139,1.445201,10.243762,-0.038237
302,-1.562375,1.38364,10.364218,-0.03334
303,-1.636273,1.107716,10.286318,-0.039057
304,-1.802783,0.966395,10.35979,-0.032566
305,-2.118256,0.803101,10.325335,-0.039329
306,-2.058188,0.657775,10.387568,-0.037771
307,-2.457544,0.713741,10.31421,-0.044535
308,-2.482419,0.371645,10.425105,-0.03738
309,-2.294803,0.43135,10.47704,-0.030776
310,-2.360642,0.306409,10.507706,-0.028885
311,-2.340972,0.216698,10.724202,-0.022742
312,-2.482434,-0.065226,10.534446,-0.027957
313,-2.785124,-0.113467,10.731081,-0.029943
314,-2.488652,-0.277489,10.656077,-0.019739
315,-2.461992,-0.191107,10.860097,-0.015296
316,-2.493584,-0.155295,10.695579,-0.023272
317,-2.256534,-0.235766,10.667244,-0.017328
318,-2.036987,-0.307051,10.744197,-0.009306
319,-2.002193,-0.30814,10.782455,-0.013832
320,-1.665035,-0.429675,10.708262,-0.006034
321,-1.525715,-0.607526,10.84324,0.000953
322,-1.35082,-0.356504,10.714793,0.002382
323,-0.861826,-0.503082,10.533205,0.009551
324,-0.724483,-0.499979,10.454002,0.011225
325,-0.536688,-0.596083,10.546087,0.011276
326,-0.464133,-0.560087,10.352206,0.009332
327,-0.299238,-0.363519,10.338642,0.012905
328,0.063679,-0.46217,10.227005,0.018136
329,0.271089,-0.326273,10.231922,0.021277
330,0.301263,-0.589743,10.08956,0.020362
331,0.263655,-0.464288,9.881403,0.013857
332,0.416779,-0.568056,9.829597,0.014484
333,0.239349,-0.39322,9.684689,0.005409
334,0.280787,-0.426909,9.612784,0.003963
335,0.278351,-0.504843,9.553891,0.003819
336,0.435536,-0.609945,9.654253,0.0106
337,0.276671,-0.558655,9.286232,0.003347
338,0.584432,-0.676786,9.303415,0.007556
339,0.372547,-0.563928,9.301785,0.00116
340,0.5747,-0.668482,9.21972,0.005069
341,0.430254,-0.949499,9.17886,0.006361
342,0.207211,-0.86922,9.127375,0.003577
343,0.534258,-1.040259,9.181487,0.011322
344,0.683657,-0.838893,9.067921,0.008148
345,0.978916,-1.344467,8.995482,0.014943
346,0.978555,-1.305784,9.142514,0.017826
347,1.198378,-1.352025,9.085774,0.024648
348,1.337831,-1.535709,9.159918,0.028564
349,1.426332,-1.789863,9.177339,0.038139
350,1.632176,-1.728951,9.022481,0.038404
351,1.785192,-1.827951,9.256926,0.043666
352,2.176649,-1.901393,9.189881,0.053547
353,2.063544,-1.916718,9.210531,0.05338
354,2.350133,-2.06302,9.250188,0.05872
355,2.375776,-2.083935,9.333212,0.061217
356,2.525774,-2.017375,9.090253,0.052572
357,2.712858,-2.081424,9.258027,0.063596
358,2.745548,-2.235848,9.254812,0.064469
359,2.76186,-2.052244,9.08865,0.061269
